Borough,CD Number,CD Name,2010 Population
Bronx,1,"Melrose, Mott Haven, Port Morris",91497
Bronx,2,"Hunts Point, Longwood",52246
Bronx,3,"Morrisania, Crotona Park East",79762
Bronx,4,"Highbridge, Concourse Village",146441
Bronx,5,"University Hts., Fordham, Mt. Hope",128200
Bronx,6,"East Tremont, Belmont",83268
Bronx,7,"Bedford Park, Norwood, Fordham",139286
Bronx,8,"Riverdale, Kingsbridge, Marble Hill",101731
Bronx,9,"Soundview, Parkchester",172298
Bronx,10,"Throgs Nk., Co-op City, Pelham Bay",120392
Bronx,11,"Pelham Pkwy, Morris Park, Laconia",113232
Bronx,12,"Wakefield, Williamsbridge",152344
Brooklyn,1,"Williamsburg, Greenpoint",173083
Brooklyn,2,"Brooklyn Heights, Fort Greene",99617
Brooklyn,3,Bedford Stuyvesant,152985
Brooklyn,4,Bushwick,112634
Brooklyn,5,"East New York, Starrett City",182896
Brooklyn,6,"Park Slope, Carroll Gardens",104709
Brooklyn,7,"Sunset Park, Windsor Terrace",126230
Brooklyn,8,Crown Heights North,96317
Brooklyn,9,"Crown Heights South, Wingate",98429
Brooklyn,10,"Bay Ridge, Dyker Heights",124491
Brooklyn,11,"Bensonhurst, Bath Beach",181981
Brooklyn,12,"Borough Park, Ocean Parkway",191382
Brooklyn,13,"Coney Island, Brighton Beach",104278
Brooklyn,14,"Flatbush, Midwood",160664
Brooklyn,15,"Sheepshead Bay, Gerritsen Beach",159650
Brooklyn,16,"Brownsville, Ocean Hill",86468
Brooklyn,17,"East Flatbush, Rugby, Farragut",155252
Brooklyn,18,"Canarsie, Flatlands",193543
Manhattan,1,"Battery Park City, Tribeca",60978
Manhattan,2,"Greenwich Village, Soho",90016
Manhattan,3,"Lower East Side, Chinatown",163277
Manhattan,4,"Chelsea, Clinton",103245
Manhattan,5,Midtown Business District,51673
Manhattan,6,"Stuyvesant Town, Turtle Bay",142745
Manhattan,7,"West Side, Upper West Side",209084
Manhattan,8,Upper East Side,219920
Manhattan,9,"Manhattanville, Hamilton Heights",110193
Manhattan,10,Central Harlem,115723
Manhattan,11,East Harlem,120511
Manhattan,12,"Washington Heights, Inwood",190020
Queens,1,"Astoria, Long Island City",191105
Queens,2,"Sunnyside, Woodside",113200
Queens,3,"Jackson Heights, North Corona",171576
Queens,4,"Elmhurst, South Corona",172598
Queens,5,"Ridgewood, Glendale, Maspeth",169190
Queens,6,"Forest Hills, Rego Park",113257
Queens,7,"Flushing, Bay Terrace",247354
Queens,8,"Fresh Meadows, Briarwood",151107
Queens,9,"Woodhaven, Richmond Hill",143317
Queens,10,"Ozone Park, Howard Beach",122396
Queens,11,"Bayside, Douglaston, Little Neck",116431
Queens,12,"Jamaica, St. Albans, Hollis",225919
Queens,13,"Queens Village, Rosedale",188593
Queens,14,"The Rockaways, Broad Channel",114978
Staten Island,1,"Stapleton, Port Richmond",175756
Staten Island,2,"New Springville, South Beach",132003
Staten Island,3,"Tottenville, Woodrow, Great Kills",160209
