borough,communitydistrict,waste type,month,quantity
Bronx,1,leaves organic,1,0
Bronx,1,mgp,1,128.1
Bronx,1,other organics,1,0
Bronx,1,paper,1,234.7
Bronx,1,refuse,1,3201.6
Bronx,1,res organics,1,9.9
Bronx,1,school organic,1,95.6
Bronx,1,xmastree,1,0
Bronx,10,leaves organic,1,0
Bronx,10,mgp,1,336.9
Bronx,10,other organics,1,0
Bronx,10,paper,1,293.7
Bronx,10,refuse,1,2472.5
Bronx,10,res organics,1,41
Bronx,10,school organic,1,62.2
Bronx,10,xmastree,1,0
Bronx,11,leaves organic,1,0
Bronx,11,mgp,1,324.5
Bronx,11,other organics,1,0
Bronx,11,paper,1,286.9
Bronx,11,refuse,1,2981.6
Bronx,11,res organics,1,39
Bronx,11,school organic,1,81.5
Bronx,11,xmastree,1,0
Bronx,12,leaves organic,1,0
Bronx,12,mgp,1,554.1
Bronx,12,other organics,1,0
Bronx,12,paper,1,309
Bronx,12,refuse,1,3572.7
Bronx,12,res organics,1,67
Bronx,12,school organic,1,0
Bronx,12,xmastree,1,0
Bronx,2,leaves organic,1,0
Bronx,2,mgp,1,197
Bronx,2,other organics,1,0
Bronx,2,paper,1,230
Bronx,2,refuse,1,7754.2
Bronx,2,res organics,1,6.4
Bronx,2,school organic,1,0
Bronx,2,xmastree,1,0
Bronx,3,leaves organic,1,0
Bronx,3,mgp,1,169.3
Bronx,3,other organics,1,0
Bronx,3,paper,1,164.3
Bronx,3,refuse,1,2172.5
Bronx,3,res organics,1,6.2
Bronx,3,school organic,1,94.5
Bronx,3,xmastree,1,0
Bronx,4,leaves organic,1,0
Bronx,4,mgp,1,292.8
Bronx,4,other organics,1,0
Bronx,4,paper,1,250.5
Bronx,4,refuse,1,3956.8
Bronx,4,res organics,1,8.6
Bronx,4,school organic,1,69.3
Bronx,4,xmastree,1,0
Bronx,5,leaves organic,1,0
Bronx,5,mgp,1,316.1
Bronx,5,other organics,1,0
Bronx,5,paper,1,214.8
Bronx,5,refuse,1,3325.5
Bronx,5,res organics,1,10.2
Bronx,5,school organic,1,77.3
Bronx,5,xmastree,1,0
Bronx,6,leaves organic,1,0
Bronx,6,mgp,1,191.8
Bronx,6,other organics,1,0
Bronx,6,paper,1,201.3
Bronx,6,refuse,1,3072.8
Bronx,6,res organics,1,4.8
Bronx,6,school organic,1,60
Bronx,6,xmastree,1,0
Bronx,7,leaves organic,1,0
