borough,communitydistrict,waste type,month,year,quantity
Bronx,1,refuse,12,2017,2975.0
Bronx,2,refuse,12,2017,8263.7
Bronx,3,refuse,12,2017,1857.7
Bronx,4,refuse,12,2017,4223.5
Bronx,5,refuse,12,2017,3755.1
Bronx,6,refuse,12,2017,3009.4
Bronx,7,refuse,12,2017,3716.9
Bronx,8,refuse,12,2017,2460.7
Bronx,9,refuse,12,2017,3891.5
Bronx,10,refuse,12,2017,2292.3
Bronx,11,refuse,12,2017,2816.4
Bronx,12,refuse,12,2017,3356.0
Brooklyn,1,refuse,12,2017,5269.7
Brooklyn,2,refuse,12,2017,2488.8
Brooklyn,3,refuse,12,2017,4224.9
Brooklyn,4,refuse,12,2017,4200.8
Brooklyn,5,refuse,12,2017,4649.9
Brooklyn,6,refuse,12,2017,2196.3
Brooklyn,7,refuse,12,2017,3212.3
Brooklyn,8,refuse,12,2017,5922.7
Brooklyn,9,refuse,12,2017,2976.8
Brooklyn,10,refuse,12,2017,3392.1
Brooklyn,11,refuse,12,2017,7482.5
Brooklyn,12,refuse,12,2017,6227.5
Brooklyn,13,refuse,12,2017,2912.2
Brooklyn,14,refuse,12,2017,4836.5
Brooklyn,15,refuse,12,2017,4141.2
Brooklyn,16,refuse,12,2017,2933.3
Brooklyn,17,refuse,12,2017,4390.0
Brooklyn,18,refuse,12,2017,5153.5
Manhattan,1,refuse,12,2017,1538.1
Manhattan,2,refuse,12,2017,2296.5
Manhattan,3,refuse,12,2017,6087.9
Manhattan,4,refuse,12,2017,3306.0
Manhattan,5,refuse,12,2017,1776.5
Manhattan,6,refuse,12,2017,3330.5
Manhattan,7,refuse,12,2017,5137.0
Manhattan,8,refuse,12,2017,5950.9
Manhattan,9,refuse,12,2017,2361.2
Manhattan,10,refuse,12,2017,6289.7
Manhattan,11,refuse,12,2017,2385.4
Manhattan,12,refuse,12,2017,4973.7
Queens,1,refuse,12,2017,3988.7
Queens,2,refuse,12,2017,3884.1
Queens,3,refuse,12,2017,4659.7
Queens,4,refuse,12,2017,3824.5
Queens,5,refuse,12,2017,4514.6
Queens,6,refuse,12,2017,2706.6
Queens,7,refuse,12,2017,5886.4
Queens,8,refuse,12,2017,3374.0
Queens,9,refuse,12,2017,3536.1
Queens,10,refuse,12,2017,3238.8
Queens,11,refuse,12,2017,2693.0
Queens,12,refuse,12,2017,6035.4
Queens,13,refuse,12,2017,4942.5
Queens,14,refuse,12,2017,3127.0
Staten Island,1,refuse,12,2017,5129.8
Staten Island,2,refuse,12,2017,4818.0
Staten Island,3,refuse,12,2017,5682.1
Bronx,1,refuse,11,2017,3279.2
Bronx,2,refuse,11,2017,8663.3
Bronx,3,refuse,11,2017,2079.6
Bronx,4,refuse,11,2017,4456.3
Bronx,5,refuse,11,2017,3910.7
Bronx,6,refuse,11,2017,3223.0
Bronx,7,refuse,11,2017,3933.7
Bronx,8,refuse,11,2017,2547.7
Bronx,9,refuse,11,2017,4208.6
Bronx,10,refuse,11,2017,2562.3
Bronx,11,refuse,11,2017,3055.0
Bronx,12,refuse,11,2017,3608.4
Brooklyn,1,refuse,11,2017,5476.4
Brooklyn,2,refuse,11,2017,2625.5
Brooklyn,3,refuse,11,2017,4431.5
Brooklyn,4,refuse,11,2017,4440.1
Brooklyn,5,refuse,11,2017,5070.3
Brooklyn,6,refuse,11,2017,2366.6
Brooklyn,7,refuse,11,2017,3417.0
Brooklyn,8,refuse,11,2017,6119.0
Brooklyn,9,refuse,11,2017,3113.3
Brooklyn,10,refuse,11,2017,3596.7
Brooklyn,11,refuse,11,2017,7845.7
Brooklyn,12,refuse,11,2017,6454.3
Brooklyn,13,refuse,11,2017,3172.2
Brooklyn,14,refuse,11,2017,4948.4
Brooklyn,15,refuse,11,2017,4533.5
Brooklyn,16,refuse,11,2017,2946.9
